act_dir,rew,total_pnl,pnl,inv_pnl,buy_frac,sell_frac,curr_q,mp,sp,inv,bp,bid_vol,ask_vol,filled
0,-0.0014245014245014564,0.0,0.0,-0.0,0.25925925925925924,0.4074074074074074,0.3740740740740741,99.98,0.0,-30.0,99999700008.0,1011.0,279.01,True
1,-0.010626322751323459,-0.07500000000014495,0.0,0.1500000000002899,0.2857142857142857,0.39285714285714285,0.35357142857142865,99.975,0.010000000000005116,-30.0,99999700008.0,779.0,279.01,False
-1,0.007697044334975367,0.0,0.0,-0.0,0.27586206896551724,0.41379310344827586,0.3689655172413794,99.975,0.010000000000005116,-39.0,99999610035.0,779.0,279.01,False
1,-0.00998275862068922,-0.09999999999990905,0.0,-0.1999999999998181,0.3,0.4,0.35000000000000003,99.97999999999999,0.01999999999999602,-40.0,99999600038.0,759.0,12.01,False
1,-0.008870967741935493,0.0,0.0,-0.0,0.3225806451612903,0.3870967741935484,0.33225806451612905,99.97999999999999,0.01999999999999602,-40.0,99999600038.0,759.0,12.01,False
0,-0.03219153225803686,-6.337499999994471,-6.2499999999943014,-0.17500000000033822,0.3125,0.375,0.33125000000000004,99.985,0.009999999999990905,-35.0,99999600025.5,1022.0,12.01,True
-1,-0.024147727272698802,-6.2499999999943014,-6.2499999999943014,-0.0,0.30303030303030304,0.3939393939393939,0.34545454545454546,99.985,0.009999999999990905,-40.0,99999600023.0,603.0,12.01,False
-1,-0.11206550802128237,-23.7499999999784,-23.7499999999784,-0.0,0.29411764705882354,0.4117647058823529,0.3588235294117647,99.985,0.009999999999990905,-30.0,99999699975.48,306.0,58.01,False
-1,0.006302521008403367,0.0,0.0,-0.0,0.2857142857142857,0.42857142857142855,0.37142857142857144,99.985,0.009999999999990905,-50.0,99999500015.48,218.0,58.01,True
-1,0.005202380952381641,-0.14999999999986358,0.0,0.29999999999972715,0.2777777777777778,0.4444444444444444,0.38333333333333336,99.98,0.0,-60.0,99999400035.48,331.0,120.01,True
-1,0.004755630630631452,-0.17499999999984084,0.0,-0.3499999999996817,0.2702702702702703,0.4594594594594595,0.39459459459459467,99.985,0.009999999999990905,-70.0,99999300055.48,433.0,58.01,True
1,-0.06050218451531502,-10.535714285708806,-10.535714285708806,-0.0,0.2894736842105263,0.4473684210526316,0.3789473684210527,99.985,0.009999999999990905,-60.0,99999400024.4,408.0,58.01,True
0,-0.0017621457489871819,-0.14999999999986358,0.0,0.29999999999972715,0.28205128205128205,0.4358974358974359,0.37692307692307697,99.98,0.0,-60.0,99999400024.4,378.0,220.01,True
1,-0.010515109890126833,-0.660714285717674,-0.5357142857177877,-0.24999999999977263,0.3,0.425,0.36250000000000004,99.985,0.009999999999990905,-50.0,99999500003.32,463.0,58.01,True
-1,0.005335365853658514,0.0,0.0,-0.0,0.2926829268292683,0.43902439024390244,0.37317073170731707,99.985,0.009999999999990905,-60.0,99999400023.32,443.0,58.01,True
0,-0.0008710801393728151,0.0,0.0,-0.0,0.2857142857142857,0.42857142857142855,0.37142857142857144,99.985,0.009999999999990905,-60.0,99999400023.32,482.0,58.01,True
-1,0.004983388704318942,0.0,0.0,-0.0,0.27906976744186046,0.4418604651162791,0.3813953488372093,99.985,0.009999999999990905,-70.0,99999300043.32,467.0,58.01,True
0,-0.0009249471458773473,0.0,0.0,-0.0,0.2727272727272727,0.4318181818181818,0.37954545454545463,99.985,0.009999999999990905,-70.0,99999300043.32,502.0,58.01,True
-1,0.00467171717171716,0.0,0.0,-0.0,0.26666666666666666,0.4444444444444444,0.38888888888888895,99.985,0.0,-80.0,99999200063.32,789.0,58.01,True
-1,0.003343599033817435,-0.22499999999979536,0.0,-0.4499999999995907,0.2608695652173913,0.45652173913043476,0.3978260869565218,99.99,0.0,-90.0,99999100073.32,906.0,58.01,True
-1,0.004278445883441284,0.0,0.0,-0.0,0.2553191489361702,0.46808510638297873,0.40638297872340434,99.99,0.0,-100.0,99999000083.32,896.0,58.01,True
-1,0.004100177304964536,0.0,0.0,-0.0,0.25,0.4791666666666667,0.4145833333333334,99.99,0.0,-110.0,99998900093.32,898.0,123.01,True
1,-0.045102427334594804,-7.766233766238685,-7.516233766238912,0.49999999999954525,0.2653061224489796,0.46938775510204084,0.40204081632653066,99.985,0.009999999999990905,-100.0,99999000068.28,631.0,123.01,True
