sp,mid,ask_5,ask_4,ask_3,ask_2,ask_1,bid_1,bid_2,bid_3,bid_4,bid_5
0.62,98.97,1,1,1,1,1,1,1,1,1,1
0.62,98.95,1,1,1,1,1,1,1,1,1,1
0.64,98.96,0,1,1,1,1,1,1,1,1,1
0.62,98.91,0,1,1,1,1,1,1,1,1,1
0.62,98.93,1,1,1,1,1,1,1,1,1,1
0.76,98.94,0,0,0,0,1,1,1,0,0,0
0.66,98.85,0,0,1,1,1,1,1,1,0,0
99.14,49.57,1,1,1,1,1,0,0,0,0,0
0.66,98.75,0,0,1,1,1,1,1,1,1,1
0.62,98.77,1,1,1,1,1,1,1,1,1,1
0.7,98.81,0,0,0,0,1,1,1,1,1,1
0.68,98.88,0,0,0,1,1,1,1,1,1,1
99.22,49.61,1,1,1,1,1,0,0,0,0,0
0.68,98.84,0,0,0,1,1,1,1,1,1,1
0.66,98.89,0,0,1,1,1,1,1,1,1,1
0.62,98.91,1,1,1,1,1,1,1,1,1,1
0.62,98.97,1,1,1,1,1,1,1,1,1,1
0.62,98.93,1,1,1,1,1,1,1,1,1,1
0.68,98.9,1,1,1,1,1,1,1,0,0,0
0.64,98.8,1,1,1,1,1,1,1,1,1,0
0.62,98.79,1,1,1,1,1,1,1,1,1,1
0.62,98.89,1,1,1,1,1,1,1,1,1,1
0.62,98.87,1,1,1,1,1,1,1,1,1,1
0.62,98.95,1,1,1,1,1,1,1,1,1,1
0.62,99.05,1,1,1,1,1,1,1,1,1,1
-98.74,49.37,0,0,0,0,0,1,1,1,1,0
0.64,99.08,1,1,1,1,1,1,1,1,1,0
0.64,99.08,0,0,1,1,1,1,1,1,1,0
-98.76,49.38,0,0,0,0,0,1,1,1,1,1
0.66,99.19,0,0,1,1,1,1,1,1,1,1
0.67,99.225,0,0,1,1,1,1,1,1,1,1
0.7,99.21,1,1,1,1,1,1,0,0,0,0
0.62,99.17,1,1,1,1,1,1,1,1,1,1
0.62,99.09,1,1,1,1,1,1,1,1,1,1
0.62,99.11,1,1,1,1,1,1,1,1,1,1
0.62,99.06,1,1,1,1,1,1,1,1,1,1
-98.75,49.375,0,0,0,0,0,1,1,1,1,1
0.7,99.17,0,0,0,0,1,1,1,1,1,1
99.52,49.76,1,1,1,1,1,0,0,0,0,0
0.62,99.11,1,1,1,1,1,1,1,1,1,1
0.62,99.17,1,1,1,1,1,1,1,1,1,1
0.62,99.13,1,1,1,1,1,1,1,1,1,1
0.62,99.07,1,1,1,1,1,1,1,1,1,1
0.66,99.05,1,1,1,1,1,1,1,1,0,0
0.66,99.01,1,1,1,1,1,1,1,1,0,0
0.62,98.99,1,1,1,1,1,1,1,1,1,1
0.0,0.0,0,0,0,0,0,0,0,0,0,0
-98.64,49.32,0,0,0,0,0,1,1,1,0,0
0.64,99.02,1,1,1,1,1,1,1,1,1,0
-98.7,49.35,0,0,0,0,0,1,1,1,1,1
0.62,99.11,1,1,1,1,1,1,1,1,1,1
0.62,99.21,1,1,1,1,1,1,1,1,1,1
0.62,99.17,1,1,1,1,1,1,1,1,1,1
0.66,99.19,0,0,1,1,1,1,1,1,1,1
99.52,49.76,1,1,1,1,1,0,0,0,0,0
0.68,99.08,1,1,1,1,1,1,1,0,0,0
-98.74,49.37,0,0,0,0,0,1,1,1,1,1
0.62,99.15,1,1,1,1,1,1,1,1,1,1
0.62,99.17,1,1,1,1,1,1,1,1,1,1
0.62,99.11,1,1,1,1,1,1,1,1,1,1
0.62,99.01,1,1,1,1,1,1,1,1,1,1
0.62,99.11,0,0,1,1,1,1,1,1,1,1
0.66,99.09,1,1,1,1,1,1,1,1,0,0
0.72,99.12,0,0,0,1,1,1,1,0,0,0
0.66,99.05,1,1,1,1,1,1,1,1,0,0
0.68,99.0,1,1,1,1,1,1,1,0,0,0
0.7,98.93,1,1,1,1,1,1,0,0,0,0
0.71,98.935,0,0,0,0,1,1,1,1,1,1
0.65,98.985,0,1,1,1,1,1,1,1,1,1
0.63,98.995,1,1,1,1,1,1,1,1,1,1
0.63,98.955,1,1,1,1,1,1,1,1,1,1
0.63,98.885,1,1,1,1,1,1,1,1,1,1
0.7,98.85,1,1,1,1,1,1,0,0,0,0
0.7,98.76,1,1,1,1,1,1,0,0,0,0
0.66,98.7,1,1,1,1,1,1,1,1,0,0
0.62,98.68,1,1,1,1,1,1,1,1,1,1
0.62,98.72,1,1,1,1,1,1,1,1,1,1
0.62,98.78,1,1,1,1,1,1,1,1,1,1
0.62,98.7,1,1,1,1,1,1,1,1,1,1
0.64,98.69,1,1,1,1,1,1,1,1,1,0
0.62,98.68,1,1,1,1,1,1,1,1,1,1
0.62,98.68,1,1,1,1,1,1,1,1,1,1
-98.29,49.145,0,0,0,0,0,1,0,0,0,0
0.64,98.61,0,1,1,1,1,1,1,1,1,1
98.93,49.465,1,1,1,1,1,0,0,0,0,0
0.64,98.51,1,1,1,1,1,1,1,1,1,0
0.68,98.53,0,0,0,1,1,1,1,1,1,1
0.62,98.56,1,1,1,1,1,1,1,1,1,1
0.62,98.6,1,1,1,1,1,1,1,1,1,1
0.66,98.62,0,0,1,1,1,1,1,1,1,1
0.64,98.63,1,1,1,1,1,1,1,1,1,0
-98.31,49.155,0,0,0,0,0,1,1,1,1,1
99.03,49.515,1,1,1,1,1,0,0,0,0,0
0.62,98.62,1,1,1,1,1,1,1,1,1,1
0.62,98.56,1,1,1,1,1,1,1,1,1,1
0.62,98.47,1,1,1,1,1,1,1,1,1,1
0.64,98.46,0,0,0,1,1,1,1,1,1,0
-98.14,49.07,0,0,0,0,0,1,1,1,1,0
0.67,98.495,1,1,1,1,1,1,1,0,0,0
0.62,98.48,1,1,1,1,1,1,1,1,1,1
0.69,98.515,0,0,0,0,1,1,1,1,1,1
98.85,49.425,1,1,1,1,1,0,0,0,0,0
0.66,98.47,0,0,1,1,1,1,1,1,1,1
0.66,98.47,1,1,1,1,1,1,1,1,0,0
0.7,98.49,0,0,0,0,1,1,1,1,1,1
0.63,98.525,1,1,1,1,1,1,1,1,1,1
0.62,98.49,1,1,1,1,1,1,1,1,1,1
0.62,98.58,1,1,1,1,1,1,1,1,1,1
0.66,98.56,1,1,1,1,1,1,1,1,0,0
0.63,98.545,1,1,1,1,1,1,1,1,1,1
0.68,98.57,0,0,0,1,1,1,1,1,1,1
0.62,98.6,1,1,1,1,1,1,1,1,1,1
0.62,98.7,1,1,1,1,1,1,1,1,1,1
0.62,98.66,0,0,1,1,1,1,1,1,1,1
-98.35,49.175,0,0,0,0,0,1,1,1,1,0
