,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
47,-0.04322297297297758,3.727096918737516e-05,-0.9473013281822205,0.622833251953125,0.0,5.000000000001137,0.04594594594594595,100.115,2100.0,0.05405405405405406,333.0,999789920.0,0.03,103.0,17.0,28.0,10.0,3.0,6.0,33.0,4.0,8.0,121.0
48,-0.02986577181208054,4.999999873689376e-06,-0.028982937335968018,1.0,0.0,0.0,0.05973154362416108,100.07,2100.0,0.040268456375838924,447.0,999789920.0,0.02,52.0,41.0,59.0,103.0,17.0,2.0,40.0,4.0,8.0,121.0
49,-0.008333333333333338,4.4162799895275384e-05,-0.6186108589172363,1.0,0.0,0.0,0.016666666666666677,100.09,2100.0,0.08333333333333333,312.0,999749884.0,0.0,41.0,59.0,103.0,17.0,4.0,4.0,20.0,4.0,8.0,52.0
50,-0.19848899803545048,4.999999873689376e-06,-0.9789510369300842,0.7997407913208008,0.0,42.00000000002149,0.05677799607072692,100.07,2500.0,0.043222003929273084,509.0,999749884.0,0.02,71.0,178.0,129.0,83.0,3.0,9.0,4.0,20.0,4.0,8.0
51,-0.14766291946307641,3.743040724657476e-05,0.27585887908935547,0.7077779769897461,0.0,29.49999999999733,0.0563758389261745,100.07,2900.0,0.0436241610738255,596.0,999709856.0,0.04,135.0,71.0,178.0,129.0,43.0,4.0,4.0,20.0,4.0,8.0
52,-1.9671403961529572,7.737469422863796e-05,-0.1462113857269287,-0.9939671754837036,-42.45428988292602,12.500000000024158,0.012144702842377272,100.07,2100.0,0.08785529715762273,387.0,999709888.0,0.02,71.0,109.0,129.0,31.0,3.0,12.0,4.0,4.0,20.0,4.0
53,-0.09648229471890091,2.648976987984497e-05,1.0,0.5064888000488281,1.2389238817070094,31.500000000001194,0.04931773879142301,100.085,1000.0,0.050682261208576995,513.0,999789976.0,0.05,71.0,109.0,129.0,79.0,6.0,35.0,20.0,4.0,8.0,52.0
54,-0.180705769230801,7.55626242607832e-05,0.221227765083313,-0.6031591892242432,0.0,44.500000000007844,0.0009615384615384581,100.07,1300.0,0.10096153846153846,416.0,999709960.0,0.02,79.0,109.0,129.0,1.0,3.0,3.0,8.0,35.0,36.0,13.0
55,-0.15435227272730262,6.696606578771025e-05,0.3383324146270752,1.0,0.0,32.50000000000739,0.04545454545454544,100.085,1800.0,0.14545454545454545,385.0,999639904.0,0.01,41.0,203.0,1.0,3.0,8.0,22.0,7.0,35.0,52.0,13.0
56,-0.11658817311749828,1.9384093320695683e-05,0.8404154777526855,0.605926513671875,-0.4267463791300088,19.50000000000074,0.036819172113289764,100.085,1800.0,0.06318082788671024,459.0,999639842.0,0.01,79.0,41.0,203.0,1.0,4.0,22.0,9.0,35.0,52.0,13.0
57,-0.02760773909365198,4.313242243370041e-05,-0.5337702035903931,-0.6333313584327698,1.1465072417360034,10.000000000005116,0.07740112994350283,100.095,100.0,0.022598870056497175,531.0,999629776.0,0.03,71.0,41.0,203.0,1.0,4.0,20.0,52.0,13.0,50.0,76.0
58,-0.3219687261238298,6.68428183416836e-05,0.9752869606018066,0.033777475357055664,-5.706985516524995,10.000000000005116,0.04930875576036867,100.095,-300.0,0.05069124423963134,434.0,999599759.0,0.01,71.0,41.0,190.0,8.0,2.0,3.0,20.0,36.0,13.0,50.0
59,-0.06935848775069638,9.205104288412258e-05,0.43438589572906494,-1.0,-0.8534927582620071,3.0000000000015348,0.03760262725779968,100.085,-500.0,0.06239737274220033,609.0,999529705.0,0.01,115.0,41.0,190.0,7.0,43.0,7.0,20.0,53.0,13.0,120.0
