Attributes,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,,Dates,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,,Dates,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Dates,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,,Dates,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
2015-01-13,109.25,89.5,130.87,86.89,28.05,105.88,94.46,44.15,185.07,104.42,156.44,36.6,104.58,58.83,42.64,93.01,160.74,62.3,46.6,47.93,32.77,89.92,105.2,102.55,114.45,65.005,47.08,75.7,90.02,90.33,,1/13/2015,112.8,91.13,133.9,87.88,28.695,107.66,96.43,44.78,189.36,106.03,159.96,37.485,106.33,59.7,43.24,94.42,164.38,63.62,47.91,48.72,33.225,91.5,107.21,105.6,116.78,66.4325,47.8,76.28,90.95,91.42,,1/13/2015,108.91,88.44,130.18,85.2,27.905,103.19,94.71,43.11,183.42,103.15,155.7,36.295,104.24,58.37,42.46,92.43,159.45,61.74,46.06,47.315,32.13,89.77,104.66,101.86,113.53,64.79,46.94,74.11,88.93,89.11,,1/13/2015,111.5,90.59,132.18,87.68,28.14,106.71,95.32,44.52,186.58,105.25,157.25,36.9,105.4,59.34,42.77,94,162,62.97,46.95,48.17,32.92,90.71,106.11,104.27,115.47,65.665,47.49,75.2,90.78,91,,1/13/2015,16932105,856479,736693,1127661,11408713,3252712,2156044,1963980,618905,1137549,711904,9069620,2623856,4490222,3362708,1485983,726197,2518429,13109600,1508696,9768211,1655990,540695,1067880,1450990,1621068,2864202,2567362,1957124,3426802
2015-01-14,110.22,89.23,131.17,86.37,28.095,104.2,95.19,43.61,184.93,103.73,156.81,36.5,104.76,58.84,42.63,92.83,160.62,62.19,46.355,47.505,32.44,90.3,105.36,103.07,114.34,65.195,47.18,75.26,89.31,90,,1/14/2015,110.49,88.41,131.29,86.21,28.045,104.4,94.8,43.74,182.33,103.39,156.49,36.91,104.43,57,42.59,92.05,160.53,62.9,46.24,47.185,32.71,90.15,104.99,103.48,114.14,64.64,47.34,75.42,88.5,89.89,,1/14/2015,108.51,86.26,129.05,84.27,27.64,101.83,93.3,41.95,178.11,101.89,153.77,35.91,103.51,55.28,42.1,91.13,158.5,61.53,45.63,46.455,32.14,89.44,102.99,101.23,112.64,63.545,46.57,74.3,86.5,87.26,,1/14/2015,109,87.41,129.05,84.74,27.84,103.15,94.2,43.07,180.98,102.37,155.11,36.23,103.88,56.91,42.19,91.58,159.04,61.53,45.91,46.715,32.16,89.69,103.61,101.61,113.41,64.0275,46.9,74.94,87.5,89.14,,1/14/2015,13730675,1646528,750281,1522022,9829839,3138332,1606032,2532488,1762161,1059633,804882,10217184,2684965,9376746,3956575,1674490,606668,2655787,12517740,1697382,10796436,1546276,711916,1144805,1015235,1965380,4021333,1196156,2563248,4935778
2015-01-15,109.8,87.07,130.38,86.07,27.92,103.9,94.23,43.43,180.23,102.64,155.8,36.35,104,56.81,42.56,91.54,159.84,62.64,45.955,46.855,32.48,89.99,103.77,103.33,113.52,63.89,46.97,74.99,86.61,89.74,,1/15/2015,110,88,131.81,86.17,28.195,104.93,94.96,44.26,181.6,103.61,156.91,36.875,103.92,56.6,42.85,92.34,161.42,62.99,46.38,47.2,32.76,90.32,104.62,104.58,114.65,64.31,47.54,76.09,87.78,90.6,,1/15/2015,106.66,85.88,129.72,84.3,27.355,102.53,94.06,43.27,177.5,100.83,154.16,36.03,101.95,54.51,42.18,90.965,159.38,61.83,45.41,46.29,32.25,89.35,103.45,103.16,113.06,63.1025,46.8,74.62,86.7,88.52,,1/15/2015,109.96,87.26,130.7,86.07,28.07,104.83,94.61,43.91,180.39,103.41,156.9,36.47,103.5,55.8,42.85,92.01,160.89,62.98,46.22,47.175,32.65,90.32,104.04,103.56,114.2,64.265,47.23,75.92,87.01,90.6,,1/15/2015,16696936,1034112,874466,1026644,9752060,2594208,1491799,1179800,611333,2005532,779030,12146204,2552269,5900740,2604919,1243993,607883,2295331,12629975,1218274,7496653,1937515,494651,1084432,972854,1898124,3129553,1006228,2054374,3640242
2015-01-16,106.82,85.88,130.14,84.32,27.41,102.67,94.35,43.31,178.49,101.01,154.57,36.19,102.49,54.99,42.38,91.38,159.66,61.88,45.48,46.405,32.4,89.86,104.21,104.46,113.52,63.2825,47.1,74.78,87.38,88.96,,1/16/2015,107.57,86.2,131.01,84.32,27.77,105.14,95.22,44.82,180.1,104.3,157.63,36.66,104.62,56,42.58,91.68,162.18,63.16,46.28,46.52,32.82,91.34,106.69,106,116.32,63.7725,48.02,76.12,87.45,91.19,,1/16/2015,105.2,84.75,129.11,83.05,27.215,102.75,94,43.25,174.1,100.25,154.15,35.51,102.01,54.68,42.24,90.74,159.1,61.56,45.18,46.015,32.26,89.89,104.22,103.65,113.28,62.8775,47.15,74.4,86.24,89.05,,1/16/2015,107.03,85.5,129.75,84.21,27.36,102.78,94.01,43.26,177.04,100.89,154.15,36.1,102.06,54.68,42.35,91.05,159.68,61.95,45.3,46.405,32.29,89.95,104.58,104.53,113.72,62.935,47.18,74.47,87.28,89.05,,1/16/2015,20192730,1521606,1031005,2497760,9527926,4079198,2123872,2096707,1104234,1719547,1910152,17725718,4153910,7282572,4818907,2485393,927497,3868611,15539776,2628764,9183598,3382188,767136,1468327,1883360,2561872,5640024,1856341,2241095,5681114
2015-01-19,106.82,85.88,130.14,84.32,27.41,102.67,94.35,43.31,178.49,101.01,154.57,36.19,102.49,54.99,42.38,91.38,159.66,61.88,45.48,46.405,32.4,89.86,104.21,104.46,113.52,63.2825,47.1,74.78,87.38,88.96,,1/19/2015,107.57,86.2,131.01,84.32,27.77,105.14,95.22,44.82,180.1,104.3,157.63,36.66,104.62,56,42.58,91.68,162.18,63.16,46.28,46.52,32.82,91.34,106.69,106,116.32,63.7725,48.02,76.12,87.45,91.19,,1/19/2015,105.2,84.75,129.11,83.05,27.215,102.75,94,43.25,174.1,100.25,154.15,35.51,102.01,54.68,42.24,90.74,159.1,61.56,45.18,46.015,32.26,89.89,104.22,103.65,113.28,62.8775,47.15,74.4,86.24,89.05,,1/19/2015,107.03,85.5,129.75,84.21,27.36,102.78,94.01,43.26,177.04,100.89,154.15,36.1,102.06,54.68,42.35,91.05,159.68,61.95,45.3,46.405,32.29,89.95,104.58,104.53,113.72,62.935,47.18,74.47,87.28,89.05,,1/19/2015,20192730,1521606,1031005,2497760,9527926,4079198,2123872,2096707,1104234,1719547,1910152,17725718,4153910,7282572,4818907,2485393,927497,3868611,15539776,2628764,9183598,3382188,767136,1468327,1883360,2561872,5640024,1856341,2241095,5681114
2015-01-20,105.99,86.04,130.78,83.86,27.68,105.12,95.18,44.79,177.23,104.12,157.14,36.45,104.04,55.93,42.53,91.49,162,63.03,46.24,46.495,32.8,91.25,106.54,105.77,116.15,63.7375,47.99,76.03,86.77,91.12,,1/20/2015,108.77,87.71,132,84.49,28.265,106.57,95.39,45.03,178.29,104.95,157.24,36.46,102.03,56.39,43.32,91.88,163.4,63.3,46.645,46.94,33.11,91.78,107.23,106.38,117.73,64.92,48.24,76.49,87.68,91.77,,1/20/2015,106.5,86.43,129.46,83.19,27.66,103.81,93.75,43.68,174.24,102.35,154.05,35.57,100.26,55.43,42.62,90.24,160.06,61.88,45.57,46.31,32.545,90.5,104.93,104.5,115.9,63.575,47.71,75.31,85.56,90.39,,1/20/2015,107.98,86.46,131.63,84.45,27.86,104.87,95.22,45,177.71,104.85,157.07,36.1,101.55,56.08,42.79,91.72,162.8,62.83,46.28,46.72,32.95,91.25,106.91,106.2,116.6,64.055,48.15,76.08,86.96,91.11,,1/20/2015,15067738,1375015,779214,1336730,9710019,3085071,3793296,2704399,793780,1612179,1847254,9632315,4800433,5601122,4552531,2554589,595035,3176638,12828310,2081586,10924401,3487501,719945,1085680,1145788,2788860,5479062,958071,1954752,3764515
2015-01-21,108.72,87.26,131.22,83.97,28.07,106.47,94.74,44.13,175.63,103.25,156.95,36.09,101.29,55.71,43.16,90.8,161.94,62.61,46.39,46.805,33.1,91.19,105.84,105.62,117.53,64.21,48.18,76.05,86.69,91.09,,1/21/2015,111.05,87.72,132.87,85.4,28.18,108.27,94.69,44.78,178.39,104.06,154.45,36.68,102.1,56.42,43.425,90.45,163.36,62.78,46.13,47.055,33.06,91.01,106.04,109.45,119.29,64.9075,48.395,76.45,86.9,91.989,,1/21/2015,108.275,86.81,130.68,83.6,27.7,106.35,93.82,43.65,172.82,102.54,151.08,35.77,100.4,55.2,42.76,89.54,161.04,62.08,45.49,46.505,32.565,89.66,104.59,106.12,117.24,63.67,47.61,75.07,85.72,91.03,,1/21/2015,108.87,87.5,130.81,83.64,28.07,106.99,94.07,43.95,174,102.9,153,35.8,100.42,55.4,42.92,90.03,161.66,62.26,45.94,46.555,32.85,90,105.47,106.15,117.36,63.805,47.9,75.52,86.06,91.5,,1/21/2015,12514922,1449382,594724,1434405,6642683,2616532,1931631,1510133,724967,1125704,1852085,7241351,2465944,4209598,2404630,1979295,461325,2396068,12206167,1471162,8409729,1977001,653691,2198606,1546955,2264164,5936533,881637,1991456,3433987
2015-01-22,109.55,87.67,132.41,85.37,27.84,108.16,94.17,44.74,177.15,103.53,152.09,36.48,101.9,55.89,43.36,90.34,162.54,62.16,45.92,46.755,32.64,90.73,105.01,109.32,119.03,64.32,48.25,75.59,86.64,91.87,,1/22/2015,112.47,86.12,136.21,87.34,28.51,109.12,95.38,45.46,182.56,106.3,155.71,36.995,103.83,57.73,43.83,90.97,165.98,62.66,47.135,48.055,32.83,91.68,108.23,114.12,120.67,64.75,48.23,76.21,88.38,92.96,,1/22/2015,109.72,83.51,133.07,85.44,27.225,107,94.01,44.39,177.25,103.54,151.77,36.14,101.59,55.96,43.075,89.84,162.15,61.54,46.08,46.785,32.05,89.87,105.25,109.4,118.78,63.3725,46.912,75.15,86.86,91.33,,1/22/2015,110.28,84.7,133.56,86.01,27.71,108.82,94.47,44.98,178.06,104.55,151.93,36.66,102.58,56.37,43.42,90.67,163.75,62.28,46.39,47.25,32.7,90.96,105.86,109.75,119.84,63.885,48.11,75.97,87.28,92.35,,1/22/2015,15263438,2691463,979977,1255718,15584789,1923573,1780215,1611195,784175,1110671,1153686,10924467,2493912,6020965,2769672,1664880,705272,2458283,11823196,1804386,6496494,2444445,808893,1697729,1472046,2148500,6594565,1085785,1545756,3661335
2015-01-23,112.4,84.37,135.64,86.82,28.5,108.92,95.15,45.36,182.04,106.07,155.39,36.91,103.76,57.59,43.78,90.89,165.89,62.59,47.13,47.925,32.81,91.62,108.17,113.85,120.45,64.4,47.8,76.02,88.3,92.87,,1/23/2015,113.75,85.31,135.78,87,28.5,108.73,95.52,45.33,182.98,106.48,157.6,37.03,102.92,57.85,43.75,91.64,165.94,62.99,47.39,48.37,32.87,91.17,108.14,114.32,120.93,65.125,47.93,75.95,89.26,92.48,,1/23/2015,111.53,83.97,134.6,85.2,28.14,106.73,94.44,44.56,180.44,105.31,154.89,36.385,101.94,56.66,43.19,89.43,163.92,62.42,46.81,47.825,32.43,89.96,106.93,112,119.93,64.5475,46.98,75.25,87.94,90.79,,1/23/2015,112.32,84.43,135.69,86.79,28.38,108.55,94.92,45.21,181.8,106.21,154.98,37,102.9,57.56,43.56,90.89,165.82,62.54,47.37,48.1,32.85,91.17,108.14,114,120.58,64.7475,47.93,75.95,88.42,92.28,,1/23/2015,11072225,1799197,910137,1380912,5741598,2438602,1343593,1262458,894637,902135,1105607,9254652,2847447,3951590,2922623,2501103,706578,2106382,8647922,1732546,7292829,2035000,574141,1196818,1186769,1839056,6818948,1388040,2698539,4167013
2015-01-26,112.98,84.13,134.62,85.61,28.21,106.85,94.72,44.57,180.49,105.37,155.87,36.445,102.2,56.68,43.31,89.56,164.02,62.49,47.18,48.08,32.45,90.08,107,112,119.98,64.5725,47.15,75.59,88.51,90.89,,1/26/2015,114.36,84.28,135.22,86.26,28.15,109.34,95,44.59,180.98,106.498,159.42,36.29,102.44,56.99,43.22,90.69,164.28,62.98,47.12,48.23,32.85,89.95,107.24,112,119.65,64.3225,47.08,76.09,89.15,91.93,,1/26/2015,112.81,83.13,133.54,84.9,27.705,106.32,93.94,43.92,178.06,105.15,155.78,35.57,101.22,56.21,42.83,89.5,161.81,62.13,46.24,47.78,32.17,88.75,106.44,110.76,118.28,63.4875,46.49,75.38,88.13,90.47,,1/26/2015,113.65,83.76,135.02,85.36,28.1,107.05,94.38,44.39,178.06,105.36,158.37,36.15,101.8,56.31,43.18,89.5,163.4,62.32,46.93,48,32.47,89.88,107,112,119.53,64.235,46.98,75.76,88.31,90.69,,1/26/2015,14351861,1565725,771506,1668000,5364938,2228048,1227995,1401673,627077,1124541,1141118,7535530,2776227,2816266,3585327,1947710,701195,1971703,14981247,1283168,6905790,2258576,603057,978461,1446898,1849164,4099543,823608,1107379,2786688
