act_dir,rew,total_pnl,pnl,inv_pnl,buy_frac,sell_frac,curr_q,mp,sp,inv,bp,bid_vol,ask_vol,filled
-1,-0.01838235294117649,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.38823529411764707,99.985,0.009999999999990905,30.0,99999700060.0,958.0,12.01,True
1,0.011437908496732013,0.0,0.0,0.0,0.2777777777777778,0.05555555555555555,0.4111111111111111,99.985,0.009999999999990905,40.0,99999600070.0,609.0,12.01,True
1,0.009608918128655553,-0.12499999999988631,0.0,-0.24999999999977263,0.3157894736842105,0.05263157894736842,0.43157894736842106,99.98,0.0,50.0,99999500080.0,641.0,233.01,True
-1,-0.03578947368416392,-3.99999999999068,-3.99999999999068,0.0,0.3,0.1,0.4,99.98,0.0,40.0,99999600060.0,731.0,233.01,True
0,-0.0023809523809523725,0.0,0.0,0.0,0.2857142857142857,0.09523809523809523,0.3952380952380953,99.98,0.0,40.0,99999600060.0,714.0,233.01,True
1,0.009199134199134179,0.0,0.0,0.0,0.3181818181818182,0.09090909090909091,0.41363636363636364,99.98,0.0,50.0,99999500080.0,895.0,233.01,True
-1,-0.029839920948580272,-3.299999999992733,-3.19999999999254,-0.20000000000038654,0.30434782608695654,0.13043478260869565,0.3869565217391304,99.975,0.010000000000005116,40.0,99999600060.0,777.0,279.01,True
-1,-0.07822826086955359,-13.19999999999768,-13.19999999999768,0.0,0.2916666666666667,0.16666666666666666,0.36250000000000004,99.975,0.010000000000005116,30.0,99999700030.0,794.0,279.01,True
1,0.008249999999999013,-0.10000000000019327,0.0,0.20000000000038654,0.32,0.16,0.38,99.98,0.0,40.0,99999600050.0,1011.0,279.01,True
1,0.008076923076923093,0.0,0.0,0.0,0.34615384615384615,0.15384615384615385,0.3961538461538462,99.98,0.0,40.0,99999600050.0,1011.0,279.01,False
0,-0.0017806267806267928,0.0,0.0,0.0,0.3333333333333333,0.14814814814814814,0.3925925925925926,99.98,0.0,40.0,99999600050.0,1011.0,279.01,True
1,0.006775132275131329,-0.10000000000019327,0.0,-0.20000000000038654,0.35714285714285715,0.14285714285714285,0.4071428571428572,99.975,0.010000000000005116,40.0,99999500070.0,779.0,279.01,False
1,0.006773399014778275,0.0,0.0,0.0,0.3793103448275862,0.13793103448275862,0.42068965517241375,99.975,0.010000000000005116,40.0,99999500070.0,779.0,279.01,False
-1,-0.010969827586206293,-0.12499999999988631,0.0,0.24999999999977263,0.36666666666666664,0.16666666666666666,0.4,99.97999999999999,0.01999999999999602,50.0,99999500070.0,759.0,12.01,False
1,0.006451612903225823,0.0,0.0,0.0,0.3870967741935484,0.16129032258064516,0.41290322580645167,99.97999999999999,0.01999999999999602,50.0,99999500070.0,759.0,12.01,False
-1,-0.010326612903227261,-0.1500000000002899,0.0,0.3000000000005798,0.375,0.1875,0.39375000000000004,99.985,0.009999999999990905,60.0,99999400080.0,992.0,12.01,False
1,-0.014987554112616524,-4.228571428583901,-4.228571428583901,0.0,0.3939393939393939,0.18181818181818182,0.406060606060606,99.985,0.009999999999990905,60.0,99999400070.0,583.0,12.01,False
0,-0.026825020917514878,-5.053061224501199,-5.053061224501199,0.0,0.38235294117647056,0.17647058823529413,0.40294117647058825,99.985,0.009999999999990905,70.0,99999300070.0,268.0,58.01,True
1,0.005672268907563005,0.0,0.0,0.0,0.4,0.17142857142857143,0.41428571428571426,99.985,0.009999999999990905,80.0,99999200080.0,218.0,58.01,True
0,-0.0025873015873006445,-0.1999999999998181,0.0,-0.3999999999996362,0.3888888888888889,0.16666666666666666,0.41111111111111115,99.98,0.0,80.0,99999200080.0,331.0,120.01,True
